epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.5332,1.03947,3.13727,3.26389,1.21999,0,0.25785,0.11073,0.20614,0.14785,0.25537,0.10939,0.19952,0.13053,0.88261,2.11006,2.94143,1.12961,0,0.00124228,0.000414095,0.00124228,0.000414095,0.00124228,0.000414095,0.00124228,0.000414095
2,99.6106,0.9764,2.32734,2.5377,1.17104,0,0.55307,0.47647,0.48425,0.33443,0.53571,0.45944,0.46649,0.30075,0.91759,1.92569,1.83899,1.16749,0,0.00243745,0.000812485,0.00243745,0.000812485,0.00243745,0.000812485,0.00243745,0.000812485
3,140.119,0.94327,2.15865,1.70551,1.17226,0,0.68934,0.58846,0.65714,0.46563,0.67094,0.5788,0.6333,0.41462,0.8649,1.87875,1.31226,1.13938,0,0.00357762,0.00119254,0.00357762,0.00119254,0.00357762,0.00119254,0.00357762,0.00119254
4,179.931,0.88049,2.10814,1.36677,1.13946,0,0.7364,0.66008,0.70227,0.4981,0.72652,0.64218,0.67645,0.44227,0.86617,1.85161,1.19747,1.12938,0,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675
5,221.591,0.87909,2.05725,1.24841,1.12983,0,0.77844,0.70958,0.75541,0.54315,0.77317,0.69025,0.73738,0.48853,0.84759,1.83174,1.08567,1.11611,0,0.00342,0.00114,0.00342,0.00114,0.00342,0.00114,0.00342,0.00114
