epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,3745.08,0.64465,1.40209,0.56066,0.9864,0,0.82743,0.79019,0.82924,0.61162,0.84893,0.73446,0.79621,0.55111,0.82669,1.95526,0.68481,1.09108,0,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375
89,3787.19,0.65086,1.40396,0.55755,0.98731,0,0.84701,0.77206,0.83018,0.6115,0.85354,0.73568,0.79679,0.55405,0.83279,1.96924,0.67932,1.09843,0,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
90,3828.93,0.64586,1.41407,0.5667,0.97912,0,0.84645,0.76881,0.82644,0.60691,0.83657,0.75291,0.79709,0.55119,0.83248,1.9417,0.6819,1.09634,0,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625
91,3904.53,0.61389,1.19799,0.52791,0.97535,0,0.86316,0.75566,0.81981,0.60451,0.84993,0.73773,0.78852,0.54336,0.83061,1.96786,0.68971,1.09662,0,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
92,3946.15,0.61695,1.18817,0.51614,0.96655,0,0.87025,0.75569,0.82372,0.60466,0.85357,0.73703,0.79528,0.54771,0.82634,1.9721,0.68817,1.09257,0,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875
93,3986.43,0.60427,1.17207,0.50131,0.96711,0,0.84981,0.77037,0.82385,0.60849,0.84736,0.75268,0.79503,0.54954,0.82799,1.98165,0.68578,1.09541,0,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
94,4028.48,0.61234,1.18559,0.50664,0.96762,0,0.86312,0.76645,0.82476,0.60403,0.84596,0.74683,0.79376,0.54785,0.82765,1.96049,0.68897,1.09265,0,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05
95,4069.92,0.60423,1.17685,0.50309,0.95773,0,0.86731,0.7697,0.8297,0.60756,0.85005,0.74987,0.79544,0.54995,0.8234,1.95399,0.68464,1.08575,0,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
96,4111.2,0.6009,1.17326,0.49728,0.96729,0,0.86823,0.76431,0.83019,0.61292,0.85092,0.74533,0.80015,0.55544,0.82312,1.95482,0.67474,1.08657,0,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
97,4151.8,0.58888,1.14698,0.48294,0.95348,0,0.87228,0.7627,0.82843,0.60973,0.85905,0.74992,0.80011,0.5527,0.82681,1.96027,0.68135,1.08727,0,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
98,4193.13,0.60005,1.16074,0.48997,0.96639,0,0.8716,0.76221,0.8304,0.61264,0.86553,0.74149,0.79786,0.55482,0.8247,1.95902,0.67854,1.08646,0,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05
99,4235.08,0.59152,1.14427,0.48216,0.95049,0,0.86548,0.76454,0.82876,0.61042,0.85919,0.73373,0.79461,0.55424,0.82319,1.9732,0.677,1.08704,0,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
100,4276.46,0.59518,1.16219,0.49598,0.96019,0,0.87308,0.76089,0.82822,0.61024,0.86098,0.7386,0.79524,0.55257,0.82537,1.97926,0.68091,1.08834,0,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05
