epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1210.39,0.85279,1.87526,0.81364,1.10699,0.83321,0.74632,0.80112,0.57086,0.81956,0.73348,0.77804,0.51355,0.9123,1.88545,0.8227,1.15823,0.0004525,0.0004525,0.0004525
31,1250.5,0.8266,1.87044,0.80086,1.0985,0.83502,0.74502,0.81108,0.58066,0.82898,0.72123,0.78755,0.527,0.92516,1.85135,0.82788,1.17135,0.000425,0.000425,0.000425
32,1290.31,0.81713,1.81795,0.78809,1.09487,0.82879,0.74802,0.81524,0.59342,0.81815,0.73115,0.79199,0.52945,0.88318,1.86147,0.7794,1.12782,0.0003975,0.0003975,0.0003975
33,1329.82,0.81746,1.82515,0.78013,1.0927,0.80685,0.75529,0.81075,0.59156,0.80588,0.74243,0.78669,0.52552,0.88822,1.91559,0.79485,1.13524,0.00037,0.00037,0.00037
34,1369.68,0.81504,1.82852,0.77543,1.09194,0.83937,0.74435,0.81954,0.59831,0.83804,0.73453,0.80329,0.53392,0.86615,1.83214,0.78629,1.11489,0.0003425,0.0003425,0.0003425
35,1409.43,0.81027,1.73003,0.74585,1.08669,0.82278,0.74752,0.81562,0.59193,0.81994,0.72794,0.79476,0.53108,0.87652,1.87097,0.76841,1.12117,0.000315,0.000315,0.000315
36,1492.53,0.8061,1.57368,0.70462,1.10075,0.81275,0.77107,0.83126,0.60191,0.81285,0.7467,0.80278,0.54125,0.87482,1.83301,0.75542,1.12674,0.0002875,0.0002875,0.0002875
37,1531.49,0.78218,1.53956,0.67625,1.08587,0.81738,0.76419,0.82201,0.59057,0.81316,0.744,0.79669,0.53415,0.88194,1.84796,0.78206,1.13567,0.00026,0.00026,0.00026
38,1570.89,0.77142,1.51815,0.66356,1.09028,0.82663,0.78013,0.83073,0.61057,0.82076,0.7501,0.80145,0.55016,0.86105,1.83043,0.73514,1.11993,0.0002325,0.0002325,0.0002325
39,1609.94,0.76402,1.50073,0.64451,1.07521,0.82466,0.76644,0.82832,0.60391,0.83421,0.72593,0.8014,0.54712,0.86576,1.79763,0.74799,1.11885,0.000205,0.000205,0.000205
40,1649.93,0.76097,1.50039,0.63778,1.0703,0.83551,0.76171,0.82713,0.60756,0.81656,0.7424,0.79857,0.54381,0.86127,1.81435,0.73088,1.11939,0.0001775,0.0001775,0.0001775
41,1689.73,0.74344,1.46232,0.62717,1.06027,0.83001,0.77272,0.83662,0.61994,0.82198,0.76304,0.81332,0.55348,0.84573,1.81916,0.71371,1.10706,0.00015,0.00015,0.00015
42,1729.44,0.7339,1.46134,0.6026,1.05016,0.80431,0.77644,0.82834,0.6152,0.84723,0.72713,0.80785,0.54892,0.84268,1.82797,0.72196,1.10252,0.0001225,0.0001225,0.0001225
43,1768.9,0.71164,1.3999,0.59223,1.04301,0.83609,0.77841,0.83341,0.61629,0.84631,0.75581,0.81279,0.55267,0.84341,1.82573,0.70817,1.10613,9.5e-05,9.5e-05,9.5e-05
44,1808.59,0.71934,1.43194,0.59612,1.05428,0.84767,0.76444,0.82986,0.61551,0.84475,0.74859,0.80921,0.55253,0.83713,1.80878,0.70953,1.10429,6.75e-05,6.75e-05,6.75e-05
45,1848.22,0.71019,1.38666,0.57843,1.04393,0.82959,0.77948,0.83242,0.61831,0.86448,0.72726,0.80779,0.55548,0.83828,1.81559,0.70286,1.10207,4e-05,4e-05,4e-05
